Gender,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Citizen,Income,ApprovalStatus
2,156,0,2,1,13,8,1.25,1,1,1,0,0,0
1,328,4.46,2,1,11,4,3.04,1,1,6,0,560,0
1,89,0.5,2,1,11,4,1.5,1,0,0,0,824,0
2,125,1.54,2,1,13,8,3.75,1,1,5,0,3,0
2,43,5.625,2,1,13,8,1.71,1,0,0,2,0,0
2,168,4,2,1,10,8,2.5,1,0,0,0,0,0
2,179,1.04,2,1,12,4,6.5,1,0,0,0,31285,0
1,74,11.585,2,1,3,8,0.04,1,0,0,0,1349,0
2,310,0.5,3,3,9,4,3.96,1,0,0,0,314,0
2,255,4.915,3,3,13,8,3.165,1,0,0,0,1442,0
2,64,0.83,2,1,2,4,2.165,0,0,0,0,0,0
2,145,1.835,2,1,2,4,4.335,1,0,0,0,200,0
1,220,6,2,1,9,8,1,1,0,0,0,0,0
2,282,6.04,2,1,9,8,0.04,0,0,0,0,2690,0
1,270,10.5,2,1,11,8,5,1,1,7,0,0,0
2,211,4.415,3,3,9,8,0.25,1,1,10,0,0,0
2,129,0.875,2,1,10,8,0.96,1,1,3,0,0,0
1,78,5.875,2,1,11,8,3.17,1,1,10,0,245,0
2,61,0.25,2,1,4,4,0.665,1,0,0,0,0,0
1,34,8.585,2,1,3,4,0.75,1,1,7,0,0,0
2,94,11.25,2,1,2,8,2.5,1,1,17,0,1208,0
2,78,1,2,1,2,8,0.835,1,0,0,2,0,0
1,280,8,2,1,2,8,7.875,1,1,6,0,1260,0
1,121,14.5,2,1,14,4,3.085,1,1,1,0,11,0
1,244,6.5,2,1,11,8,0.5,1,1,3,0,0,0
1,3,0.585,2,1,2,4,1.5,1,1,2,0,0,0
1,274,13,2,1,7,1,5.165,1,1,9,0,0,0
2,318,18.5,2,1,4,1,15,1,1,17,0,0,0
2,322,8.5,2,1,5,4,7,1,1,3,0,0,0
2,252,1.04,2,1,13,8,5,1,1,6,0,10000,0
2,138,14.79,2,1,1,8,5.04,1,1,5,0,0,0
2,251,9.79,2,1,14,4,7.96,1,1,8,0,0,0
2,291,7.585,2,1,7,1,7.585,1,1,15,0,5000,0
1,212,5.125,2,1,5,8,5,1,0,0,0,4000,0
1,70,10.75,2,1,11,8,0.415,1,1,5,0,560,0
2,125,1.5,2,1,13,8,2,1,1,11,0,35,0
2,119,1.585,2,1,3,4,1.835,1,1,12,0,713,0
1,75,11.75,2,1,14,4,0.5,1,1,2,0,551,0
2,124,0.585,3,3,3,8,0.25,1,1,2,0,500,0
2,311,9.415,2,1,6,3,14.415,1,1,11,0,300,0
2,188,9.17,2,1,2,8,4.5,1,1,12,0,221,0
2,136,15,2,1,2,4,5.335,1,1,11,0,2283,0
2,142,1.415,2,1,13,4,0.75,1,1,1,0,100,0
2,234,13.915,2,1,13,8,8.625,1,1,6,0,0,0
2,316,28,3,3,2,8,28.5,1,1,40,0,15,0
2,309,6.75,2,1,2,4,2.625,1,1,11,0,284,0
1,243,2.04,3,3,11,4,0.125,1,1,23,0,1236,0
2,166,4.46,2,1,3,4,6.04,1,1,3,0,300,0
2,247,1.54,2,1,7,1,3.5,0,0,0,0,0,0
2,84,0.665,2,1,2,8,0.165,0,0,0,0,0,0
1,103,0.5,2,1,2,4,0.875,1,0,0,0,0,0
2,106,1,2,1,11,8,1.75,1,0,0,0,0,0
2,215,2.04,2,1,13,8,0.04,1,0,0,0,5800,0
2,196,2.5,2,1,13,8,0,1,0,0,0,200,0
2,189,3,2,1,3,4,7.415,1,0,0,0,0,0
2,79,11.625,3,3,13,8,0.835,1,0,0,0,300,0
2,77,0,2,1,3,8,0.085,1,0,0,0,0,0
2,265,0.5,2,1,7,4,5,1,0,0,0,0,0
2,198,4.5,2,1,14,4,5.75,0,0,0,2,0,0
2,261,3,2,1,11,4,6,1,1,11,0,0,0
2,319,12.25,2,1,10,8,1.25,1,1,4,0,0,0
2,163,16.165,2,1,4,8,3,1,1,9,0,730,0
1,80,0.79,3,3,11,8,1.5,1,1,2,0,400,0
1,46,0.835,2,1,11,8,1.585,1,1,1,0,0,0
2,113,4.25,2,1,3,8,4.29,1,1,1,0,0,0
2,188,1.54,2,1,3,8,1.54,1,1,1,0,50000,0
1,203,1,2,1,2,8,2,1,1,11,0,456,0
2,100,0.375,2,1,10,8,0.25,1,1,3,0,15108,0
2,36,6.5,2,1,13,4,1.46,1,1,7,0,2954,0
2,198,25.125,2,1,14,4,1.625,1,1,1,0,500,0
